GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
05408000, 1.1304, 0.7117, 0.0249, 0.1284, 7.7221
05410490, 1.1388, 0.6851, 0.054, 0.128, 7.8798
05410500, 1.1388, nan, nan, 0.128, 7.8814
05412500, 1.1598, 0.7162, 0.029, 0.1184, 8.2249
05418500, 1.1928, 0.7018, 0.0526, 0.1155, 8.6241
05422000, 1.1557, 0.7029, 0.0411, 0.1151, 8.7775
05430500, 1.1117, 0.7371, -0.0063, 0.1301, 8.2452
05435500, 1.1091, 0.7044, 0.0257, 0.1217, 8.3716
05440000, 1.0349, 0.7119, -0.0059, 0.1153, 9.0446
05447500, 1.0989, 0.7344, -0.0075, 0.1, 9.8502
05451500, 1.2004, 0.7415, 0.015, 0.1168, 8.5342
05452000, 1.1316, 0.7265, 0.0104, 0.1124, 9.0663
05454500, 1.1758, 0.7322, 0.0175, 0.1115, 8.9383
05455500, 1.1468, 0.7225, 0.0188, 0.0974, 9.8188
05457700, 1.1891, 0.7009, 0.0525, 0.1315, 7.6708
05458500, 1.1729, 0.7284, 0.0204, 0.1286, 7.8555
05462000, 1.1911, 0.7323, 0.0216, 0.124, 7.9671
05471500, 1.1882, 0.7421, 0.0111, 0.1047, 9.3502
05472500, 1.134, 0.7415, -0.0039, 0.1057, 9.6201
05476500, 1.4692, 0.8348, -0.0166, 0.1376, 7.4973
05479000, 1.3063, 0.7634, 0.02, 0.1211, 8.1538
05481000, 1.2517, 0.7467, 0.0232, 0.1147, 8.414
05482500, 1.288, 0.7761, 0.003, 0.1109, 8.8533
05484500, 1.2594, 0.776, -0.004, 0.1065, 9.1873
05502040, 1.032, 0.7157, -0.0107, 0.0866, 11.548
05507500, 1.0462, 0.7645, -0.0546, 0.0724, 11.971
05508000, 1.034, 0.7355, -0.0297, 0.074, 12.0077
05514500, 1.0225, 0.7421, -0.0403, 0.0794, 12.2083
05515500, 0.9065, 0.5693, 0.0889, 0.1244, 9.8445
05517000, 0.9187, 0.6319, 0.0312, 0.1077, 10.0682
05517500, 0.9161, 0.6297, 0.0324, 0.114, 9.8942
05518000, 0.9254, 0.6229, 0.0428, 0.1128, 9.8425
05520500, 0.9294, 0.6315, 0.0358, 0.1076, 9.8654
05526000, 0.9719, 0.6728, 0.0108, 0.0966, 10.3428
05542000, 1.0386, 0.6889, 0.0184, 0.0989, 10.3451
05546500, 1.0499, 0.6434, 0.0677, 0.1326, 8.7095
05552500, 1.0354, 0.688, 0.0182, 0.1184, 9.1858
05554500, 1.0385, 0.7173, -0.0101, 0.095, 10.6542
05555300, 1.0362, 0.6662, 0.0403, 0.0983, 10.5935
05555500, 1.0368, 0.7797, -0.073, 0.0976, 10.5903
05569500, 1.122, 0.723, 0.011, 0.0993, 10.2148
05570000, 1.1172, 0.7225, 0.01, 0.0973, 10.4288
05582000, 1.0339, 0.7272, -0.0215, 0.0828, 11.2856
05584500, 1.0764, 0.7404, -0.0206, 0.0894, 10.9744
05585000, 1.0726, 0.7492, -0.0307, 0.0874, 11.1283
05592500, 0.9942, 0.7082, -0.0164, 0.0769, 11.8867
05593000, 1.0132, 0.7263, -0.0278, 0.0741, 12.0715
05594000, 1.0401, 0.7476, -0.0399, 0.0709, 12.4284
06191500, 1.0528, 0.4038, 0.3082, 0.5638, 1.6156
06192500, 1.0649, 0.4584, 0.2577, 0.5219, 2.2272
06225500, 1.8159, 0.5581, 0.3147, 0.4962, 2.2542
